[31-Mar-2016 13:55:35 PRC] PHP Fatal error:  Call to undefined method MaterialNewsModel::getEntAppInfo() in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 444
[31-Mar-2016 13:56:42 PRC] PHP Fatal error:  Call to undefined method MaterialNewsModel::getEntAppInfo() in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 444
[31-Mar-2016 14:12:52 PRC] PHP Warning:  Missing argument 2 for MaterialNewsModel::insert(), called in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 450 and defined in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 153
[31-Mar-2016 14:12:52 PRC] PHP Fatal error:  Undefined class constant 'ENT_ID' in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 478
[31-Mar-2016 14:17:24 PRC] PHP Fatal error:  Undefined class constant 'ENT_ID' in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 477
[31-Mar-2016 14:34:41 PRC] PHP Fatal error:  Call to a member function preview() on a non-object in E:\www\yhsci\htdocs\yhsci\News\preview.php on line 14
[31-Mar-2016 14:35:19 PRC] PHP Fatal error:  Call to a member function preview() on a non-object in E:\www\yhsci\htdocs\yhsci\News\preview.php on line 14
[31-Mar-2016 14:36:03 PRC] PHP Fatal error:  Call to a member function preview() on a non-object in E:\www\yhsci\htdocs\yhsci\News\preview.php on line 14
[31-Mar-2016 14:37:20 PRC] PHP Fatal error:  Call to a member function preview() on a non-object in E:\www\yhsci\htdocs\yhsci\News\preview.php on line 17
[31-Mar-2016 14:37:22 PRC] PHP Fatal error:  Call to a member function preview() on a non-object in E:\www\yhsci\htdocs\yhsci\News\preview.php on line 17
[31-Mar-2016 15:33:21 PRC] PHP Notice:  Undefined property: MaterialNewsModel::$appDb in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 509
[31-Mar-2016 15:33:21 PRC] PHP Fatal error:  Call to a member function startTrans() on a non-object in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 509
[31-Mar-2016 15:34:21 PRC] PHP Notice:  Undefined index: index in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 521
[31-Mar-2016 15:34:21 PRC] PHP Notice:  Undefined index: title in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 521
[31-Mar-2016 15:34:21 PRC] PHP Notice:  Undefined index: description in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 521
[31-Mar-2016 15:34:21 PRC] PHP Notice:  Undefined index: picurl in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 521
[31-Mar-2016 15:34:21 PRC] PHP Notice:  Undefined index: url in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 521
[31-Mar-2016 15:34:21 PRC] PHP Notice:  Undefined index: news_text in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 521
[31-Mar-2016 15:34:21 PRC] PHP Notice:  Undefined index: author in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 521
[31-Mar-2016 15:34:21 PRC] PHP Notice:  Undefined index: pic_to_text in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 521
[31-Mar-2016 15:34:21 PRC] PHP Notice:  Undefined index: index in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 523
[31-Mar-2016 15:34:21 PRC] PHP Notice:  Undefined index: title in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 523
[31-Mar-2016 15:34:21 PRC] PHP Notice:  Undefined index: description in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 523
[31-Mar-2016 15:34:21 PRC] PHP Notice:  Undefined index: picurl in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 523
[31-Mar-2016 15:34:21 PRC] PHP Notice:  Undefined index: url in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 523
[31-Mar-2016 15:34:21 PRC] PHP Notice:  Undefined index: news_text in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 523
[31-Mar-2016 15:34:21 PRC] PHP Notice:  Undefined index: author in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 523
[31-Mar-2016 15:34:21 PRC] PHP Notice:  Undefined index: pic_to_text in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 523
[31-Mar-2016 15:34:21 PRC] PHP Notice:  Undefined property: MaterialNewsModel::$appDb in E:\www\yhsci\myfolder\Lib\Model\Admin\MaterialNewsModel.class.php on line 535
